surgery,age,temp_of_extremities,peripheral_pulse,mucous_membrane,capillary_refill_time,pain,peristalsis,abdominal_distention,nasogastric_tube,nasogastric_reflux,rectal_exam_feces,abdomen,abdomo_appearance,surgical_lesion,abdomo_protein,lesion_1,packed_cell_volume,total_protein,nasogastric_reflux_ph,rectal_temp,pulse,respiratory_rate,outcome
yes,adult,cool,None,pale_cyanotic,more_3_sec,severe_pain,hypomotile,slight,none,less_1_liter,absent,distend_small,serosanguious,yes,7.4,2205,66,5.8,6,37.3,64,36,died
yes,adult,warm,reduced,pale_cyanotic,less_3_sec,extreme_pain,absent,moderate,significant,less_1_liter,None,distend_small,cloudy,yes,3.9,2208,48,7.6,6.5,38.4,60,20,lived
yes,adult,None,None,bright_red,less_3_sec,mild_pain,hypomotile,moderate,none,none,None,None,cloudy,yes,2,3205,68,64,2,38.6,120,20,lived
yes,adult,cool,reduced,pale_pink,less_3_sec,depressed,absent,moderate,None,more_1_liter,None,None,serosanguious,yes,2,3205,57,66,2,38.5,129,48,lived
yes,adult,cool,None,pale_cyanotic,more_3_sec,depressed,absent,moderate,slight,more_1_liter,absent,distend_large,cloudy,yes,2.6,2208,52,6.5,5.3,38.6,104,24,died
yes,adult,cool,reduced,bright_red,more_3_sec,extreme_pain,hypomotile,moderate,none,less_1_liter,absent,distend_large,serosanguious,yes,3.9,4205,52,6,5,36.5,90,24,died
no,adult,cool,reduced,normal_pink,more_3_sec,severe_pain,hypomotile,moderate,slight,more_1_liter,normal,distend_large,serosanguious,yes,4.5,7400,57,8.1,7,40.3,114,36,euthanized
yes,adult,cool,normal,bright_red,less_3_sec,depressed,absent,moderate,slight,more_1_liter,decreased,distend_large,cloudy,yes,3.4,2205,48,4.3,5,38.1,60,80,died
yes,adult,normal,normal,pale_pink,less_3_sec,severe_pain,hypomotile,moderate,slight,none,absent,distend_small,clear,yes,3.4,2208,40,7.7,4.4,37.5,42,24,died
yes,adult,cool,normal,normal_pink,less_3_sec,severe_pain,normal,slight,significant,more_1_liter,decreased,None,cloudy,no,1,3111,37,75,2,38,36,16,euthanized
yes,adult,cool,reduced,dark_cyanotic,less_3_sec,extreme_pain,absent,severe,none,less_1_liter,absent,distend_large,clear,no,2,1400,75,81,2,37.1,84,40,euthanized
yes,adult,cool,reduced,pale_pink,less_3_sec,depressed,hypomotile,slight,none,less_1_liter,absent,distend_small,serosanguious,yes,3.6,31110,36,5.3,6.5,39.3,86,36,died
no,adult,cool,None,None,less_3_sec,mild_pain,None,moderate,slight,none,absent,distend_small,None,yes,2,2209,43,7.6,4.5,38,60,20,euthanized
yes,adult,normal,normal,pale_pink,less_3_sec,mild_pain,absent,slight,slight,less_1_liter,decreased,distend_large,clear,yes,3.7,5400,48,6.3,5,38,48,21,lived
yes,adult,cool,reduced,bright_red,less_3_sec,mild_pain,hypomotile,none,slight,none,increased,distend_large,cloudy,yes,3.6,2124,44,6,3,38.1,66,12,lived
no,adult,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,less_1_liter,absent,distend_small,cloudy,no,5,2209,43,6.5,4.5,38.3,44,20,lived
no,adult,normal,normal,normal_pink,less_3_sec,alert,hypomotile,slight,slight,more_1_liter,decreased,firm,clear,no,3,0,49,7.5,3,38.3,48,16,lived
yes,young,normal,reduced,bright_red,more_3_sec,depressed,hypomotile,moderate,slight,more_1_liter,normal,None,cloudy,yes,1.4,7209,54,7.5,7,38,132,68,died
yes,adult,cool,reduced,pale_cyanotic,less_3_sec,severe_pain,absent,severe,significant,more_1_liter,absent,distend_small,serosanguious,yes,2,2208,75,81,2,38.1,84,66,euthanized
no,adult,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,absent,distend_small,clear,no,2.6,0,34,6.5,7,36.7,48,20,lived
yes,adult,cool,reduced,dark_cyanotic,less_3_sec,depressed,absent,moderate,slight,more_1_liter,decreased,distend_small,serosanguious,yes,2.6,2206,64,6.7,5.3,39,88,24,died
yes,adult,cool,reduced,pale_cyanotic,more_3_sec,severe_pain,absent,severe,significant,more_1_liter,absent,distend_large,clear,no,1,2205,68,80,2,37.8,88,24,euthanized
yes,young,cool,reduced,pale_cyanotic,less_3_sec,None,hypomotile,moderate,significant,more_1_liter,None,None,serosanguious,yes,4.5,3025,35,7.2,4.2,38,128,48,died
no,adult,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,none,normal,firm,clear,no,8.1,0,43,7.5,7,38.5,44,12,lived
no,adult,cool,reduced,bright_pink,more_3_sec,depressed,hypomotile,moderate,none,none,absent,distend_small,serosanguious,yes,4.5,7400,57,8.1,7,40.3,114,36,died
yes,adult,None,reduced,pale_pink,more_3_sec,mild_pain,absent,slight,slight,more_1_liter,absent,distend_small,serosanguious,yes,3.2,12208,48,7.4,5,37.1,75,36,lived
yes,adult,cool,reduced,bright_red,more_3_sec,severe_pain,hypomotile,moderate,slight,more_1_liter,absent,distend_small,serosanguious,yes,3.7,5400,73,5.5,5,37.1,84,24,died
yes,adult,normal,increased,pale_pink,less_3_sec,depressed,hypomotile,none,slight,more_1_liter,decreased,other,serosanguious,no,3.3,5400,48,7.2,6.5,38.3,54,10,died
yes,adult,normal,reduced,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,none,absent,distend_large,serosanguious,yes,3.9,3205,36,5,7,37.7,72,28,lived
yes,adult,cold,reduced,dark_cyanotic,less_3_sec,depressed,absent,slight,none,more_1_liter,absent,distend_small,clear,no,2,2111,75,81,2,38.5,72,28,lived
yes,adult,cool,reduced,dark_cyanotic,more_3_sec,extreme_pain,absent,moderate,slight,more_1_liter,absent,distend_large,serosanguious,yes,2,4205,66,84,4,39.2,88,32,lived
yes,adult,cool,normal,bright_red,less_3_sec,mild_pain,hypomotile,none,slight,none,increased,distend_large,cloudy,yes,3.6,2124,44,6,3,38.8,66,12,lived
yes,adult,cool,normal,bright_red,less_3_sec,mild_pain,hypomotile,moderate,slight,less_1_liter,normal,distend_large,clear,yes,2,2206,51,51,2,39.3,44,12,lived
yes,adult,cool,normal,normal_pink,less_3_sec,severe_pain,normal,slight,none,more_1_liter,decreased,normal,cloudy,no,2,2322,37,75,2,37.2,36,16,euthanized
yes,adult,None,None,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,normal,distend_large,cloudy,yes,4.3,5206,32,6,5,37.8,84,36,euthanized
yes,adult,cold,reduced,pale_cyanotic,more_3_sec,extreme_pain,hypomotile,moderate,None,more_1_liter,decreased,distend_small,serosanguious,yes,2,3205,52,75,2,37.8,72,30,lived
yes,adult,cold,None,pale_cyanotic,more_3_sec,severe_pain,absent,moderate,slight,more_1_liter,None,None,cloudy,no,1,3205,46,75,2,38.7,88,24,euthanized
no,adult,normal,normal,bright_pink,less_3_sec,alert,None,none,slight,more_1_liter,normal,firm,clear,no,5.3,0,28,6.5,5.7,37.7,52,16,lived
yes,adult,normal,reduced,pale_pink,less_3_sec,severe_pain,hypomotile,none,slight,none,normal,distend_large,serosanguious,yes,3.5,6209,37,4.5,3.5,38,72,30,died
yes,adult,cool,reduced,pale_pink,less_3_sec,depressed,absent,None,None,more_1_liter,absent,distend_large,cloudy,no,2,1400,75,81,2,39.3,84,40,euthanized
yes,adult,normal,normal,pale_pink,less_3_sec,mild_pain,normal,slight,slight,none,increased,normal,clear,yes,3.9,5400,38,6.3,7,38.6,54,14,lived
yes,adult,cool,reduced,pale_pink,more_3_sec,mild_pain,hypomotile,moderate,none,less_1_liter,absent,distend_small,serosanguious,yes,4.3,4205,52,6.5,7.5,38.4,80,24,died
no,adult,cool,reduced,bright_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,less_1_liter,absent,distend_large,cloudy,yes,4.7,11300,54,7.5,5.4,37.5,108,16,died
no,adult,normal,None,pale_pink,more_3_sec,severe_pain,absent,moderate,slight,more_1_liter,absent,distend_large,serosanguious,yes,2,3205,52,80,2,38.6,100,68,euthanized
no,adult,cold,reduced,bright_red,more_3_sec,depressed,absent,moderate,slight,more_1_liter,absent,distend_small,cloudy,no,2.6,2300,60,7.5,5,38.1,112,24,euthanized
yes,adult,cool,reduced,pale_pink,less_3_sec,severe_pain,absent,slight,slight,more_1_liter,increased,distend_small,serosanguious,yes,1.3,2112,33,7.4,5.4,38.1,84,24,lived
yes,adult,cold,reduced,bright_red,more_3_sec,extreme_pain,hypomotile,moderate,none,more_1_liter,normal,distend_large,serosanguious,yes,2,3205,52,75,2,37.5,72,30,euthanized
yes,adult,cool,normal,normal_pink,less_3_sec,depressed,hypomotile,moderate,slight,none,absent,distend_large,cloudy,yes,2,31110,42,6.6,7,38.6,40,24,lived
yes,adult,cool,reduced,bright_red,less_3_sec,mild_pain,hypomotile,none,none,none,normal,distend_large,cloudy,yes,3.6,31110,44,6,3,38.1,66,12,lived
no,adult,warm,reduced,pale_pink,more_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,absent,distend_small,serosanguious,no,2.2,3207,45,8.1,7,38,80,30,died
yes,adult,cool,reduced,pale_cyanotic,more_3_sec,depressed,distend_small,moderate,significant,more_1_liter,None,distend_small,serosanguious,yes,2,3209,55,85,2,39.2,108,24,euthanized
yes,adult,cool,reduced,bright_red,less_3_sec,depressed,hypomotile,slight,slight,more_1_liter,absent,distend_small,cloudy,yes,4.5,3205,47,7.5,5.5,38.5,88,20,died
yes,adult,cool,reduced,pale_pink,less_3_sec,extreme_pain,absent,moderate,significant,less_1_liter,None,normal,serosanguious,yes,2.6,1400,46,7.2,4.5,40.3,60,30,died
yes,adult,cool,reduced,bright_red,more_3_sec,severe_pain,hypomotile,moderate,slight,less_1_liter,normal,None,serosanguious,yes,4.1,2205,68,7.2,3,37.6,88,20,died
no,adult,normal,normal,normal_pink,less_3_sec,alert,hypomotile,slight,slight,less_1_liter,increased,firm,clear,no,5,0,49,7.2,4.5,38,40,28,lived
no,adult,warm,reduced,normal_pink,more_3_sec,mild_pain,hypomotile,slight,none,more_1_liter,normal,None,cloudy,no,2,4206,52,7.5,2,37.8,52,16,euthanized
no,adult,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,less_1_liter,decreased,firm,clear,no,3.5,0,36,6.6,5,38.3,54,16,lived
yes,adult,warm,normal,pale_pink,less_3_sec,None,hypomotile,slight,slight,more_1_liter,None,distend_large,serosanguious,yes,2,3207,39,60,4,38.6,60,16,lived
yes,adult,cool,reduced,pale_pink,less_3_sec,severe_pain,absent,moderate,significant,none,decreased,distend_large,serosanguious,yes,1,7111,37.5,75,2,36.5,84,40,euthanized
yes,adult,cold,None,pale_cyanotic,less_3_sec,depressed,absent,slight,slight,none,decreased,distend_small,serosanguious,yes,3.6,2206,45,8.6,7,38.2,52,12,died
yes,adult,cold,reduced,normal_pink,less_3_sec,extreme_pain,absent,moderate,slight,less_1_liter,absent,distend_small,cloudy,yes,2,2205,65,64,2,39.2,98,28,lived
yes,adult,warm,normal,None,less_3_sec,severe_pain,hypomotile,slight,None,less_1_liter,absent,distend_small,serosanguious,yes,4.1,2208,50,4.7,4.5,38.4,60,40,died
no,adult,cool,reduced,normal_pink,less_3_sec,alert,hypomotile,moderate,none,less_1_liter,normal,normal,clear,no,1,3111,34,65,6.5,37.8,44,12,lived
yes,adult,warm,reduced,bright_red,less_3_sec,depressed,hypomotile,moderate,significant,less_1_liter,absent,distend_small,serosanguious,yes,3.2,2208,40,6.6,4,38.5,88,12,died
no,adult,cool,reduced,pale_cyanotic,less_3_sec,mild_pain,absent,moderate,significant,less_1_liter,absent,distend_small,serosanguious,yes,4.3,2208,45,5.5,4,37.2,88,12,died
yes,adult,cool,reduced,normal_pink,more_3_sec,depressed,hypomotile,moderate,slight,none,normal,distend_small,serosanguious,yes,4.5,3205,57,8.1,7,40.3,114,36,died
no,adult,cool,reduced,pale_pink,less_3_sec,severe_pain,absent,moderate,None,more_1_liter,None,None,serosanguious,yes,3.9,2209,52,6,6,37.7,84,20,euthanized
yes,adult,cool,reduced,bright_pink,less_3_sec,depressed,hypomotile,moderate,none,none,increased,distend_large,serosanguious,yes,2.6,2113,44,6.1,3,37.4,54,36,died
yes,adult,cold,reduced,pale_cyanotic,more_3_sec,depressed,absent,slight,None,more_1_liter,normal,None,serosanguious,no,7,2112,57,8.5,7.5,38.4,124,40,died
no,young,cool,reduced,bright_pink,more_3_sec,depressed,hypomotile,moderate,None,None,absent,None,serosanguious,no,7,4205,50,8.1,4.3,40.3,114,36,died
no,adult,warm,normal,normal_pink,less_3_sec,alert,hypermotile,none,slight,more_1_liter,normal,normal,clear,no,7.2,0,43,6.4,5.4,38.3,52,20,lived
yes,adult,normal,None,bright_pink,less_3_sec,alert,hypomotile,none,slight,none,decreased,other,cloudy,yes,2.6,3113,47,7.5,3,38.2,48,32,lived
yes,adult,normal,reduced,bright_red,less_3_sec,mild_pain,hypomotile,moderate,slight,none,absent,distend_small,cloudy,yes,3.6,31110,30,6.6,3,38.2,66,12,lived
yes,adult,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,severe,none,none,normal,distend_large,serosanguious,yes,2,3205,65,50,2,37.9,92,24,euthanized
no,adult,cool,reduced,normal_pink,less_3_sec,mild_pain,hypomotile,none,slight,more_1_liter,decreased,normal,clear,no,3.4,2300,33,63,2,38,44,16,lived
yes,adult,None,None,dark_cyanotic,less_3_sec,None,hypomotile,moderate,significant,more_1_liter,None,distend_small,None,no,1,2209,65,82,2,38,88,20,euthanized
no,adult,cool,reduced,dark_cyanotic,more_3_sec,depressed,absent,slight,none,None,decreased,normal,cloudy,no,2.6,4300,59,8.2,7.5,38.4,108,51,lived
yes,adult,cool,normal,pale_pink,less_3_sec,mild_pain,hypomotile,slight,significant,none,decreased,distend_large,serosanguious,yes,6.3,4205,48,8.6,7,37.2,68,16,lived
yes,adult,normal,reduced,pale_pink,less_3_sec,depressed,absent,moderate,slight,less_1_liter,None,None,serosanguious,no,2,1400,64,82,2,38,129,30,euthanized
yes,adult,cool,reduced,pale_cyanotic,less_3_sec,mild_pain,absent,moderate,slight,less_1_liter,decreased,distend_large,cloudy,yes,2.8,4205,60,6.1,4.4,38,112,44,lived
no,adult,normal,normal,normal_pink,less_3_sec,alert,hypomotile,none,slight,none,None,other,clear,no,2,3111,49,7.3,6.5,38.6,48,32,lived
yes,adult,cool,reduced,pale_cyanotic,more_3_sec,severe_pain,hypomotile,moderate,none,less_1_liter,absent,distend_small,serosanguious,yes,3.4,2208,63,6.7,6.5,38.5,96,16,died
yes,adult,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,less_1_liter,absent,distend_small,None,yes,2,2208,48,7.5,6,38.5,64,36,died
no,adult,cool,reduced,dark_cyanotic,less_3_sec,mild_pain,None,none,slight,more_1_liter,None,distend_small,serosanguious,no,2,2208,53,51,2,37.2,108,40,euthanized
yes,adult,cool,reduced,pale_cyanotic,less_3_sec,severe_pain,hypomotile,severe,None,more_1_liter,absent,None,serosanguious,yes,2,2205,65,75,2,38.5,86,51,euthanized
yes,adult,cool,reduced,bright_red,less_3_sec,mild_pain,hypomotile,slight,slight,less_1_liter,None,distend_small,cloudy,yes,2,2209,35,6,3.5,37.5,60,30,died
yes,adult,cool,normal,bright_red,less_3_sec,depressed,absent,slight,slight,more_1_liter,normal,distend_small,serosanguious,yes,4.5,2208,57,8.1,7,38.3,112,14,died
no,adult,cool,reduced,normal_pink,more_3_sec,severe_pain,hypomotile,moderate,slight,none,normal,None,serosanguious,yes,4.5,2205,57,7.4,7,40.3,114,36,euthanized
yes,adult,normal,normal,pale_cyanotic,less_3_sec,mild_pain,absent,moderate,slight,none,None,distend_large,clear,yes,2,3205,46,46,7,38.2,76,20,euthanized
yes,adult,cool,reduced,pale_cyanotic,more_3_sec,severe_pain,absent,moderate,significant,more_1_liter,absent,distend_large,serosanguious,yes,2,2205,57,7.5,5.5,36,100,36,euthanized
yes,adult,cold,reduced,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,significant,none,absent,distend_small,serosanguious,yes,3.6,2124,50,7.5,3,38.6,68,14,lived
no,adult,cool,reduced,dark_cyanotic,more_3_sec,depressed,absent,severe,significant,less_1_liter,absent,distend_large,serosanguious,no,2,1400,48,6.5,2,38.4,150,40,lived
yes,adult,cool,reduced,dark_cyanotic,less_3_sec,extreme_pain,hypomotile,none,none,more_1_liter,normal,normal,cloudy,yes,1.3,11400,45,7.5,6.5,36.2,114,36,died
yes,young,cold,absent,dark_cyanotic,more_3_sec,extreme_pain,hypomotile,moderate,None,more_1_liter,None,None,serosanguious,yes,5,2205,36,4.9,4,39.8,120,20,euthanized
yes,adult,cool,normal,pale_cyanotic,less_3_sec,mild_pain,hypomotile,slight,none,none,decreased,distend_small,serosanguious,yes,2,2209,41,54,1,40.3,64,36,lived
no,adult,cool,reduced,bright_red,more_3_sec,severe_pain,absent,moderate,slight,more_1_liter,decreased,None,serosanguious,yes,3.9,3205,63,7.5,5.5,38.3,130,52,euthanized
yes,adult,cool,reduced,pale_pink,less_3_sec,extreme_pain,absent,moderate,significant,more_1_liter,None,distend_large,cloudy,no,2,3205,53,75,2,38.3,88,16,euthanized
yes,adult,None,reduced,bright_red,more_3_sec,depressed,absent,slight,slight,none,absent,distend_small,serosanguious,yes,4.8,2112,69,8.6,5,38.4,132,20,died
yes,adult,warm,normal,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,significant,more_1_liter,absent,distend_small,serosanguious,yes,2,2205,41,60,2,38,104,24,lived
yes,adult,normal,reduced,bright_red,less_3_sec,mild_pain,hypomotile,moderate,significant,none,None,None,cloudy,yes,3.3,2208,45,6.2,4.5,38.6,72,30,lived
yes,adult,cool,normal,pale_pink,more_3_sec,mild_pain,hypomotile,moderate,significant,less_1_liter,absent,distend_small,serosanguious,yes,3.4,7111,37,4.7,7,39.3,60,16,died
yes,adult,cool,normal,pale_cyanotic,more_3_sec,extreme_pain,absent,moderate,None,more_1_liter,absent,distend_large,serosanguious,yes,2,3205,65,69,2,38.3,96,36,died
yes,adult,normal,normal,bright_pink,less_3_sec,mild_pain,hypomotile,none,none,none,decreased,distend_small,cloudy,yes,4.3,2112,44,7.6,3.5,38.5,66,21,lived
yes,adult,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,less_1_liter,normal,distend_small,cloudy,no,4.2,2205,39,6.6,4.5,38.1,44,24,lived
yes,young,cool,reduced,dark_cyanotic,more_3_sec,depressed,hypomotile,moderate,none,none,decreased,None,serosanguious,yes,3.9,2209,50,7,4.4,39.4,114,36,died
no,adult,normal,normal,normal_pink,less_3_sec,mild_pain,normal,slight,slight,more_1_liter,decreased,firm,cloudy,no,2.6,3111,43,7.5,3,38.6,50,12,lived
yes,adult,cool,reduced,dark_cyanotic,more_3_sec,depressed,absent,moderate,none,none,absent,distend_small,serosanguious,yes,2,2113,57,46,2,39.3,129,48,lived
yes,adult,cool,reduced,pale_cyanotic,less_3_sec,extreme_pain,absent,moderate,slight,more_1_liter,absent,distend_large,serosanguious,yes,2,2205,41,81,2,37.1,96,20,euthanized
yes,adult,cool,normal,bright_red,less_3_sec,None,absent,none,slight,more_1_liter,None,distend_small,clear,yes,2,2112,75,81,2,38.2,76,24,lived
yes,adult,warm,normal,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,less_1_liter,decreased,distend_large,clear,yes,3,3115,38,6.6,3,37.9,50,16,lived
yes,adult,cool,normal,bright_red,less_3_sec,depressed,hypomotile,none,slight,none,absent,distend_small,None,yes,3.6,2124,50,6.7,3,38.1,66,16,lived
no,adult,normal,normal,normal_pink,less_3_sec,mild_pain,hypermotile,none,slight,more_1_liter,normal,distend_large,clear,no,5,0,42,6.6,5,38,54,20,lived
yes,adult,cool,reduced,dark_cyanotic,less_3_sec,depressed,absent,moderate,none,more_1_liter,decreased,distend_small,None,no,1,0,75,81,2,37.7,84,32,lived
yes,adult,cool,reduced,bright_red,less_3_sec,mild_pain,hypomotile,slight,slight,less_1_liter,decreased,distend_small,cloudy,yes,3.4,2209,47,7.4,3.4,38.2,64,40,lived
yes,adult,None,reduced,pale_pink,less_3_sec,None,hypomotile,moderate,None,more_1_liter,None,distend_large,cloudy,no,1,7209,55,65,2,38,86,24,euthanized
yes,adult,cool,normal,bright_red,less_3_sec,depressed,hypomotile,slight,slight,more_1_liter,absent,distend_small,clear,yes,2,2112,54,7.5,7,38.1,52,24,died
no,adult,normal,normal,normal_pink,less_3_sec,alert,hypomotile,slight,slight,more_1_liter,decreased,firm,cloudy,no,5,0,35,6.5,5.5,38.3,52,12,lived
no,adult,normal,normal,dark_cyanotic,more_3_sec,depressed,absent,none,slight,less_1_liter,absent,distend_small,clear,yes,3.6,2206,68,7,7,39.1,88,32,lived
yes,adult,normal,reduced,pale_pink,less_3_sec,mild_pain,absent,slight,slight,none,absent,distend_small,clear,yes,3.6,2124,43,8.1,3,38.3,60,18,lived
yes,adult,cool,reduced,normal_pink,less_3_sec,extreme_pain,absent,severe,none,more_1_liter,absent,distend_large,serosanguious,yes,2,11400,66,81,2,36,108,30,lived
yes,adult,normal,normal,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,normal,distend_small,clear,yes,3.6,2209,47,7,5.2,38.4,104,40,euthanized
yes,adult,cool,reduced,pale_pink,less_3_sec,depressed,absent,none,none,more_1_liter,None,distend_small,serosanguious,yes,2,2209,52,82,2,37.2,96,16,euthanized
no,adult,normal,normal,pale_pink,less_3_sec,alert,hypomotile,none,slight,none,normal,None,clear,no,1.3,2113,48,8.5,7,37.5,48,16,lived
yes,adult,cool,normal,bright_red,less_3_sec,depressed,hypomotile,moderate,slight,more_1_liter,absent,distend_small,cloudy,yes,2.6,2208,44,6.5,4,39.6,66,14,euthanized
yes,young,cool,reduced,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,less_1_liter,increased,normal,cloudy,yes,3.9,7111,47,8,7,38.8,84,40,lived
yes,adult,cool,reduced,pale_cyanotic,more_3_sec,depressed,absent,moderate,slight,more_1_liter,absent,distend_large,serosanguious,yes,4.9,9400,52,6.4,7,38.5,112,24,lived
yes,adult,normal,reduced,pale_pink,less_3_sec,severe_pain,absent,moderate,slight,none,normal,distend_large,cloudy,yes,2.6,6111,45,7.5,4.3,38.1,66,20,died
no,adult,normal,normal,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,absent,distend_large,cloudy,yes,2,3205,48,75,4,39.4,86,21,euthanized
yes,adult,warm,normal,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,less_1_liter,absent,distend_small,cloudy,yes,2.6,2205,46,6.1,5.3,38.3,48,12,lived
no,adult,normal,normal,pale_pink,less_3_sec,alert,normal,slight,slight,None,normal,normal,cloudy,no,8,0,49,8.5,7,38.9,54,24,lived
yes,adult,cool,reduced,pale_pink,less_3_sec,extreme_pain,absent,severe,None,more_1_liter,decreased,normal,serosanguious,yes,2,5111,46,66,2,38.2,130,16,lived
yes,adult,cool,normal,bright_red,less_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,absent,distend_small,cloudy,yes,3.6,7111,36,6.5,1.5,38.3,56,84,died
yes,adult,cold,absent,dark_cyanotic,less_3_sec,depressed,absent,none,none,less_1_liter,None,distend_small,serosanguious,yes,2,2113,66,13,2,39,100,51,euthanized
yes,adult,cool,reduced,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,none,absent,distend_small,serosanguious,yes,3.6,2208,43,4.5,3,37.1,72,44,died
yes,adult,cool,reduced,bright_red,more_3_sec,depressed,hypomotile,moderate,none,more_1_liter,absent,distend_large,serosanguious,yes,3.4,3205,65,7.6,4.5,38,86,24,died
no,adult,cool,normal,normal_pink,less_3_sec,severe_pain,normal,slight,slight,none,decreased,None,None,no,1,3111,37,75,2,38,36,16,euthanized
yes,adult,normal,normal,pale_pink,less_3_sec,depressed,hypermotile,none,slight,more_1_liter,decreased,firm,cloudy,yes,5.3,6111,43,8.8,7,38.4,84,32,died
yes,adult,cool,reduced,pale_pink,less_3_sec,mild_pain,absent,moderate,slight,more_1_liter,absent,distend_small,cloudy,yes,2,2209,40,67,4.4,38.8,44,12,lived
no,adult,normal,normal,pale_pink,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,normal,distend_large,clear,no,5,0,36,6.6,5.5,38.5,52,40,lived
yes,adult,normal,normal,normal_pink,less_3_sec,depressed,hypomotile,slight,slight,none,decreased,firm,cloudy,no,7.5,0,39,6.5,7,39.5,64,40,lived
yes,adult,cold,reduced,pale_cyanotic,more_3_sec,mild_pain,absent,none,none,more_1_liter,None,distend_small,serosanguious,yes,2,2113,66,66,2,39.3,100,24,lived
yes,adult,normal,normal,pale_pink,less_3_sec,depressed,hypomotile,moderate,slight,more_1_liter,absent,distend_small,cloudy,yes,4.1,3205,41,6.6,4,37.6,42,40,lived
yes,adult,cool,absent,pale_pink,less_3_sec,depressed,absent,none,slight,more_1_liter,None,distend_small,serosanguious,yes,2,2205,66,13,2,38.7,100,51,euthanized
yes,adult,normal,normal,bright_red,less_3_sec,depressed,absent,severe,none,more_1_liter,absent,distend_large,clear,yes,4.9,3205,45,6.5,5,38.3,84,24,died
no,adult,cool,reduced,pale_cyanotic,more_3_sec,depressed,absent,slight,slight,more_1_liter,decreased,firm,None,yes,7.4,2207,52,8.4,6,37.2,108,12,euthanized
yes,adult,cool,reduced,pale_pink,less_3_sec,mild_pain,hypomotile,slight,slight,none,decreased,distend_small,serosanguious,yes,3.6,2208,44,6,3,38.3,66,12,euthanized
yes,adult,normal,normal,bright_red,less_3_sec,depressed,hypomotile,moderate,slight,less_1_liter,absent,distend_small,cloudy,yes,1,2113,46,75,2,38,64,80,lived
yes,adult,cool,reduced,dark_cyanotic,more_3_sec,extreme_pain,absent,severe,none,none,absent,distend_large,serosanguious,yes,3.4,4205,73,7.5,3,36.6,60,24,died
yes,adult,cool,reduced,dark_cyanotic,more_3_sec,extreme_pain,hypomotile,moderate,significant,more_1_liter,decreased,distend_large,cloudy,yes,3.9,7111,68,4.5,5.3,38,80,24,died
yes,adult,cool,reduced,pale_cyanotic,more_3_sec,depressed,hypomotile,moderate,significant,more_1_liter,absent,distend_small,serosanguious,yes,2.6,2209,53,7.5,7,37.1,60,24,died
yes,adult,cool,normal,pale_pink,less_3_sec,None,absent,moderate,significant,less_1_liter,None,None,serosanguious,yes,2,3111,51,65,2,37.1,60,12,euthanized
no,adult,cool,reduced,normal_pink,less_3_sec,depressed,hypomotile,moderate,slight,none,normal,distend_large,serosanguious,yes,4.5,3205,57,8.1,7,40.3,114,36,died
yes,adult,normal,normal,bright_red,less_3_sec,depressed,hypomotile,none,none,more_1_liter,normal,distend_small,cloudy,no,2.8,2205,47,7,5,38.6,52,20,died
yes,adult,cold,reduced,pale_cyanotic,more_3_sec,depressed,absent,slight,none,more_1_liter,decreased,distend_small,clear,no,2,1400,47,60,2,38,100,16,died
no,adult,cool,normal,pale_pink,less_3_sec,mild_pain,hypomotile,slight,slight,none,decreased,distend_small,serosanguious,no,5,2208,40,7,6.5,39.3,66,16,euthanized
yes,adult,cool,absent,pale_cyanotic,less_3_sec,severe_pain,hypomotile,none,significant,more_1_liter,decreased,distend_large,cloudy,yes,2,3205,53,65,2,39.3,120,80,euthanized
yes,adult,cool,reduced,pale_cyanotic,more_3_sec,depressed,absent,moderate,slight,more_1_liter,absent,distend_large,serosanguious,yes,4.1,2205,60,8.1,6.5,39.2,114,30,died
yes,adult,normal,normal,bright_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,none,absent,distend_large,clear,yes,3.6,3207,39,7.5,3,39.1,64,21,lived
